issue_type,lat,lon
Rats,42.3878,-71.0903
Rats,42.3852651,-71.0826238
Rats,42.3836621,-71.0869165
Rats,42.3836621,-71.0869165
Rats,42.3832647,-71.097433
Rats,42.39118721,-71.09296436
Rats,42.382839,-71.0971235
Rats,42.4009288,-71.1140058
Rats,42.3871,-71.083351
Rats,42.3894868,-71.1039693
Rats,42.3845924,-71.0939049
Rats,42.4003183,-71.1152128
Rats,42.3761,-71.0856
Rats,42.379608,-71.097679
Rats,42.381,-71.0981
Rats,42.3945804,-71.119205
Rats,42.3842407,-71.0964117
Rats,42.3768027,-71.0976187
Rats,42.3828882,-71.094137
Rats,42.3941058,-71.0957149
Rats,42.4003092,-71.1192978
Rats,42.3889737,-71.0879974
Rats,42.3793667,-71.1001502
Rats,42.3843,-71.0839
Rats,42.400085,-71.128428
Rats,42.3823346,-71.0972009
Rats,42.383926,-71.108856
Rats,42.377468,-71.098938
Rats,42.3851707,-71.1155661
Rats,42.4016604,-71.116559
Rats,42.391737,-71.0965331
Rats,42.4009824,-71.1191121
Rats,42.4088964,-71.1246362
Rats,42.388575,-71.0909337
Rats,42.39101,-71.1084816
Rats,42.3992827,-71.1204583
Rats,42.3774662,-71.0930228
Rats,42.3937456,-71.0936263
Rats,42.3961824,-71.0877627
Rats,42.3952706,-71.0953904
Rats,42.394712,-71.1199612
Rats,42.4028979,-71.122083
Rats,42.3759393,-71.0966903
Rats,42.3965112,-71.0887184
Rats,42.4016762,-71.1194835
Rats,42.3843858,-71.089579
Rats,42.3784126,-71.1014926
Rats,42.387666,-71.080181
Rats,42.4009192,-71.1237687
Rats,42.393054,-71.099858
Rats,42.3939575,-71.0932606
Rats,42.3933066,-71.0997542
Rats,42.3807777,-71.1015942
Rats,42.3929826,-71.1165349
Rats,42.3833954,-71.1013558
Rats,0,0
Rats,42.380577,-71.100594
Rats,42.384876,-71.088989
Rats,42.3926507,-71.098083
Rats,42.3885322,-71.0987329
Rats,42.3998502,-71.1252368
Rats,42.3926893,-71.0996149
Rats,42.3793667,-71.1001502
Rats,42.3818565,-71.0913516
Rats,42.3926813,-71.0960868
Rats,42.3799,-71.0984
Rats,42.3800246,-71.1054178
Rats,42.409714,-71.128944
Rats,42.378765,-71.090202
Rats,42.400732,-71.123905
Rats,42.390384,-71.0945635
Rats,42.4003219,-71.1226401
Rats,42.3928813,-71.0967846
Rats,42.3939662,-71.0927443
Rats,42.3938545,-71.0926547
Rats,42.3901985,-71.1061141
Rats,42.3892505,-71.1083888
Rats,42.3869159,-71.0912123
Rats,42.3926507,-71.098083
Rats,42.3774068,-71.102869
Rats,42.379932,-71.099083
Rats,42.3857053,-71.0904231
Rats,42.404084,-71.12701
Rats,42.3798828,-71.0921493
Rats,42.401584,-71.1266012
Rats,42.3842407,-71.0964117
Rats,42.382472,-71.101054
Rats,42.3778917,-71.10010755
Rats,42.4060239,-71.1251932
Rats,42.388682,-71.113182
Rats,42.3936956,-71.0931157
Rats,42.380154,-71.1043255
Rats,42.4039946,-71.1276535
Rats,42.3976156,-71.0968186
Rats,42.3755973,-71.0979166
Rats,42.3811582,-71.098826
Rats,42.3811582,-71.098826
Rats,42.3858611,-71.1050464
Rats,42.398006,-71.0974806
Rats,42.3997601,-71.1171624
Rats,42.379837,-71.097839
Rats,42.380348,-71.099037
Rats,42.37600291,-71.0980124
Rats,42.390049,-71.114777
Rats,42.3887307,-71.11346
Rats,42.3870743,-71.0838772
Rats,42.3930984,-71.0983151
Rats,42.392036,-71.118922
Rats,42.3800345,-71.0930692
Rats,42.399113,-71.119865
Rats,42.3747692,-71.0990443
Rats,42.3934273,-71.1196228
Rats,42.3948856,-71.1248
Rats,42.3826016,-71.101379
Rats,42.3826016,-71.101379
Rats,42.3844846,-71.0804418
Rats,42.3786167,-71.0896503
Rats,42.3893912,-71.086802
Rats,42.4016525,-71.1193442
Rats,42.3821094,-71.093487
Rats,42.4006131,-71.1174323
Rats,42.402317,-71.123306
Rats,42.380516,-71.090546
Rats,42.3958381,-71.0985008
Rats,42.3936956,-71.0931157
Rats,42.3934613,-71.1200405
Rats,42.3827177,-71.09019758
Rats,42.3860696,-71.08892675
Rats,42.3874845,-71.0888911
Rats,42.3873151,-71.0883535
